  340823     1.0
  340822     0.2
  340824     0.6
  340825     1.0
  340881     0.9
  340827     0.9
  340826     1.0
  340828     1.0
  340323     5.5
  340321    13.7
  340322     2.0
  341623     1.6
  341622     3.4
  341621     1.1
  340522     0.0
  340523     0.9
  340124     1.0
  340225     0.4
  341721     1.0
  341723     1.0
  341722     1.0
  341125     4.6
  341126    11.0
  341122     4.5
  341182     3.9
  341124     1.0
  341181     3.0
  341225     2.0
  341282     0.0
  341221     1.0
  341222     0.0
  341226     3.0
  340122     2.0
  340123     1.8
  340121     3.7
  340621     3.9
  340421     3.0
  341024     8.0
  341021    13.1
  341022     5.2
  341023     5.7
  341522     4.8
  341525     2.0
  341524     1.0
  341521     7.4
  341523     1.9
  340521     1.0
  340721     1.0
  340222     1.0
  340223     1.0
  340221     1.0
  341321    45.3
  341323     2.0
  341324     2.4
  341322    27.0
  341822     1.0
  341824    14.8
  341823     1.0
  341825     8.7
  341821     1.0
  341881    11.0
  110114     2.9
  110105    49.6
  110115     5.8
  110101    44.1
  110111     2.6
  110106     8.3
  110108     6.6
  110116     5.4
  110109     2.0
  110228     8.0
  110117     3.6
  110107     5.0
  110113    43.3
  110112    35.5
  110102    36.4
  110229     3.9
  350181    40.5
  350122    50.0
  350123    53.5
  350121    53.2
  350124    63.7
  350128    18.6
  350125    41.7
  350182    42.4
  350825    35.5
  350823    60.5
  350824    11.4
  350822    55.8
  350881    54.2
  350821    49.8
  350723    58.7
  350783    30.6
  350784    44.4
  350722    50.0
  350781    37.2
  350721    55.7
  350724    61.0
  350782    45.2
  350725    30.1
  350981    36.5
  350982     7.0
  350922    49.7
  350923    42.2
  350924     8.6
  350921     7.1
  350926    27.4
  350925    50.9
  350322    44.8
  350524    35.4
  350526    57.3
  350521    10.0
  350527     8.4
  350582    17.3
  350583    47.3
  350581    13.8
  350525    31.1
  350425    61.1
  350430    50.1
  350428    42.0
  350421    50.0
  350424    38.5
  350423    51.9
  350427    52.2
  350429    46.5
  350481    58.4
  350426    62.0
  350626    29.4
  350629    46.6
  350681    13.7
  350627    26.4
  350628    30.0
  350622    29.6
  350623    20.7
  350625    25.9
  350624    33.3
  620422    50.3
  620423     4.1
  620421     3.0
  621124     8.0
  621122     8.0
  621126     8.0
  621121     8.0
  621123     8.0
  621125     8.0
  623024     4.5
  623001     2.0
  623021     5.7
  623026     2.0
  623025     2.7
  623027     4.2
  623023     4.0
  623022     4.9
  620321     3.3
  620924     4.0
  620982     1.0
  620921     2.0
  620923     2.2
  620981     2.0
  620122     1.0
  620121     1.5
  620123     3.9
  622926     1.0
  622924     1.0
  622925     4.1
  622922     3.8
  622901     3.0
  622921     4.0
  622923     2.0
  621221     3.0
  621223     4.9
  621227    40.4
  621224     6.4
  621226     1.9
  621228    44.7
  621222     5.5
  621225     1.4
  620823    45.0
  620824    26.6
  620821    64.0
  620826    48.9
